generation,mean_fitness,best_fitness
274,-149475.218750,-14633.777344
275,-149450.375000,-14636.607422
276,-149384.593750,-14581.112305
277,-149271.218750,-14569.682617
278,-149320.671875,-14502.001953
279,-149418.046875,-14487.284180
280,-149341.640625,-14264.068359
281,-149346.656250,-14255.243164
282,-149400.546875,-14248.693359
283,-149451.390625,-14208.740234
284,-149454.203125,-14218.063477
285,-149481.046875,-14547.820312
286,-149496.546875,-14490.531250
287,-149656.453125,-14457.083984
288,-149703.250000,-14434.845703
289,-149730.203125,-14466.685547
290,-149726.515625,-14326.833008
291,-149645.343750,-14465.430664
292,-149697.109375,-14706.274414
293,-149522.218750,-14723.156250
294,-149454.406250,-14706.991211
295,-149578.281250,-14680.753906
296,-149691.140625,-14671.559570
297,-149662.093750,-14617.921875
298,-149606.671875,-14645.079102
299,-149617.718750,-14686.120117
300,-149670.250000,-14708.725586
301,-149760.156250,-14663.193359
302,-149843.234375,-14691.838867
303,-149776.609375,-14708.021484
304,-149843.203125,-14748.142578
305,-149952.718750,-14962.980469
306,-149900.625000,-14952.164062
307,-149834.656250,-14970.635742
308,-149822.531250,-14964.045898
309,-149925.875000,-14961.022461
310,-149838.359375,-15052.977539
311,-149867.265625,-15051.968750
312,-149767.468750,-15053.385742
313,-149793.703125,-14963.450195
314,-149795.156250,-15170.348633
315,-149868.156250,-15291.442383
316,-149780.125000,-15247.843750
317,-149857.078125,-15230.323242
318,-150069.718750,-15259.451172
319,-150072.031250,-15242.982422
320,-150188.421875,-15289.697266
321,-150200.453125,-16033.158203
322,-150202.093750,-16103.228516
323,-150190.015625,-16046.838867
324,-150223.031250,-16096.764648
325,-150152.031250,-16100.791992
326,-150129.578125,-16079.545898
327,-150037.468750,-16040.976562
328,-150010.781250,-16065.407227
329,-150006.375000,-15900.122070
330,-149990.218750,-16022.397461
331,-149920.093750,-16084.142578
332,-149855.171875,-15891.652344
333,-150057.781250,-15930.212891
334,-150055.718750,-15817.554688
335,-150036.250000,-15811.888672
336,-150092.875000,-15911.337891
337,-150079.343750,-15991.124023
338,-150176.734375,-16024.010742
339,-150080.640625,-15828.325195
340,-150043.609375,-15329.375000
341,-150055.796875,-15219.105469
342,-150121.156250,-15422.949219
343,-150251.453125,-15469.144531
344,-150381.203125,-15480.239258
345,-150400.156250,-15581.599609
346,-150455.406250,-15578.592773
347,-150529.218750,-15599.899414
348,-150456.328125,-15523.845703
349,-150417.531250,-15613.176758
350,-150321.718750,-14886.144531
351,-150164.703125,-14904.826172
352,-150186.890625,-14812.046875
353,-150114.921875,-14765.269531
354,-150049.953125,-14868.767578
355,-150090.906250,-14774.352539
356,-150106.046875,-14852.094727
357,-150132.625000,-14752.788086
358,-150016.703125,-14797.731445
359,-149868.156250,-14791.021484
360,-149934.453125,-14586.292969
361,-149792.281250,-14612.832031
362,-149774.421875,-14564.700195
363,-149710.859375,-14548.673828
364,-149716.468750,-14613.014648
365,-149885.437500,-14553.633789
366,-149995.656250,-14657.282227
367,-149971.500000,-14739.356445
368,-150165.875000,-14887.591797
369,-150134.343750,-14928.925781
370,-150131.343750,-14944.040039
371,-150023.718750,-15084.587891
372,-150138.750000,-15176.882812
373,-150148.687500,-15129.648438
374,-150204.125000,-15003.369141
375,-150012.906250,-14976.424805
376,-149880.234375,-14845.077148
377,-150104.015625,-14831.518555
378,-150110.343750,-14915.667969
379,-150176.687500,-14800.340820
380,-150295.890625,-14774.176758
381,-150231.906250,-14800.125977
382,-150316.343750,-14865.834961
383,-150268.000000,-14714.947266
384,-150308.625000,-14729.926758
385,-150335.656250,-14721.031250
386,-150445.437500,-14958.541016
387,-150494.546875,-15105.867188
388,-150526.343750,-15040.958984
389,-150638.640625,-14788.177734
390,-150593.406250,-14672.633789
391,-150637.531250,-14522.565430
392,-150661.218750,-14467.887695
393,-150725.062500,-14444.872070
394,-150780.421875,-14496.047852
395,-150772.781250,-14474.918945
396,-150849.562500,-14342.182617
397,-150801.968750,-14522.032227
398,-150852.765625,-14418.621094
399,-150951.234375,-14423.583008
400,-151076.828125,-14426.519531
401,-151077.890625,-14451.988281
402,-151080.046875,-14355.917969
403,-150967.156250,-14422.738281
404,-150991.187500,-14332.352539
405,-151019.484375,-14358.497070
406,-150866.515625,-14473.406250
407,-150731.828125,-14422.965820
408,-150900.781250,-14498.459961
409,-150764.296875,-14657.837891
410,-150846.671875,-14579.160156
411,-150712.015625,-14544.805664
412,-150764.375000,-14722.210938
413,-150844.468750,-14652.311523
414,-150770.406250,-14735.290039
415,-150702.562500,-14735.589844
416,-150849.281250,-14647.108398
417,-150893.343750,-14613.288086
418,-151018.781250,-14615.279297
419,-151063.328125,-14606.578125
420,-150987.578125,-14619.863281
421,-150818.093750,-14582.708008
422,-150503.937500,-14546.703125
423,-150480.531250,-14380.904297
424,-150521.281250,-14326.930664
425,-150544.484375,-14319.345703
426,-150410.343750,-14285.749023
427,-150472.125000,-14246.056641
428,-150606.750000,-14288.663086
429,-150604.859375,-14256.909180
430,-150452.968750,-14266.464844
431,-150612.484375,-14477.348633
432,-150577.312500,-14479.669922
433,-150607.593750,-14380.872070
434,-150654.656250,-14379.974609
435,-150675.890625,-14412.468750
436,-150595.656250,-14412.532227
437,-150698.250000,-14390.349609
438,-150678.265625,-14402.248047
439,-150692.203125,-14309.634766
440,-150622.843750,-14376.577148
441,-150683.265625,-14069.751953
