generation,mean_fitness,best_fitness
465,-62199.750000,-62198.687500
466,-62199.765625,-62198.875000
467,-62424.121094,-62198.859375
468,-62245.628906,-62198.621094
469,-62297.835938,-62198.710938
470,-62278.406250,-62198.664062
471,-62322.945312,-62198.851562
472,-62295.765625,-62198.597656
473,-62199.914062,-62198.640625
474,-62245.878906,-62198.527344
475,-62232.050781,-62198.785156
476,-62231.128906,-62198.765625
477,-62200.410156,-62198.738281
478,-62297.816406,-62198.992188
479,-62246.871094,-62198.218750
480,-62295.054688,-62198.246094
481,-62199.921875,-62198.820312
482,-62292.910156,-62198.816406
483,-62231.964844,-62198.000000
484,-62232.125000,-62198.945312
485,-62277.250000,-62198.808594
486,-62292.730469,-62198.628906
487,-62232.089844,-62198.621094
488,-62295.863281,-62198.714844
489,-62291.441406,-62198.125000
490,-62297.816406,-62198.675781
491,-62294.460938,-62198.718750
492,-62393.011719,-62198.761719
493,-62395.730469,-62198.632812
494,-62200.269531,-62198.710938
495,-62231.894531,-62198.812500
496,-62199.914062,-62198.730469
497,-62232.261719,-62198.597656
498,-62372.480469,-62198.703125
499,-62231.210938,-62199.070312
500,-62297.886719,-62198.375000
501,-62199.734375,-62198.777344
502,-62421.253906,-62198.781250
503,-62199.761719,-62198.539062
504,-62199.773438,-62198.742188
505,-62232.855469,-62198.289062
506,-62295.089844,-62199.085938
507,-62199.929688,-62198.828125
508,-62423.839844,-62198.496094
509,-62247.734375,-62198.695312
510,-62262.160156,-62198.839844
511,-62231.695312,-62198.628906
512,-62232.156250,-62198.964844
513,-62199.890625,-62198.835938
514,-62199.804688,-62198.582031
515,-62199.929688,-62198.425781
516,-62246.949219,-62198.417969
517,-62200.480469,-62198.460938
518,-62329.269531,-62199.105469
519,-62295.644531,-62198.632812
520,-62199.886719,-62198.640625
521,-62231.960938,-62198.769531
522,-62199.929688,-62198.984375
523,-62247.054688,-62198.789062
524,-62327.390625,-62198.945312
525,-62246.101562,-62198.597656
526,-62199.886719,-62198.765625
527,-62199.824219,-62198.277344
528,-62231.160156,-62198.968750
529,-62341.046875,-62198.410156
530,-62199.714844,-62198.640625
531,-62245.695312,-62198.605469
532,-62247.269531,-62198.738281
533,-62199.824219,-62198.843750
534,-62295.054688,-62198.441406
535,-62199.984375,-62199.050781
536,-62200.425781,-62199.109375
537,-62231.179688,-62198.796875
538,-62291.679688,-62198.113281
539,-62199.851562,-62198.605469
540,-62199.976562,-62198.945312
541,-62373.453125,-62198.558594
542,-62295.941406,-62198.664062
543,-62247.253906,-62198.253906
544,-62245.703125,-62198.781250
545,-62230.984375,-62198.519531
546,-62337.394531,-62198.757812
547,-62263.378906,-62198.820312
548,-62262.601562,-62198.593750
549,-62291.691406,-62198.710938
550,-62297.683594,-62198.832031
551,-62278.218750,-62198.785156
552,-62330.039062,-62198.894531
553,-62199.750000,-62198.574219
554,-62340.949219,-62198.687500
555,-62200.980469,-62198.929688
556,-62231.148438,-62199.171875
557,-62232.128906,-62198.292969
558,-62199.601562,-62198.601562
559,-62230.960938,-62198.550781
560,-62439.898438,-62198.625000
561,-62390.660156,-62198.703125
562,-62295.429688,-62198.980469
563,-62279.199219,-62198.695312
564,-62437.414062,-62198.882812
565,-62276.929688,-62198.363281
566,-62199.828125,-62199.027344
567,-62199.796875,-62197.957031
568,-62232.000000,-62198.738281
569,-62327.035156,-62198.304688
570,-62232.039062,-62198.109375
571,-62199.828125,-62198.570312
572,-62338.699219,-62198.605469
573,-62295.679688,-62198.726562
574,-62264.113281,-62198.515625
575,-62199.984375,-62198.429688
576,-62199.808594,-62198.300781
577,-62199.898438,-62198.960938
578,-62295.101562,-62198.605469
579,-62199.714844,-62198.429688
580,-62245.675781,-62198.746094
581,-62396.433594,-62198.445312
582,-62329.828125,-62198.531250
583,-62245.835938,-62198.714844
584,-62232.171875,-62198.875000
585,-62200.015625,-62198.847656
586,-62245.535156,-62198.789062
587,-62245.789062,-62198.375000
588,-62200.023438,-62198.457031
589,-62514.074219,-62198.777344
590,-62231.308594,-62198.429688
591,-62247.343750,-62198.574219
592,-62200.031250,-62199.027344
593,-62232.105469,-62198.652344
594,-62199.769531,-62198.769531
595,-62246.898438,-62198.609375
596,-62199.945312,-62198.968750
597,-62199.714844,-62198.789062
598,-62262.320312,-62198.511719
599,-62201.015625,-62198.429688
600,-62295.250000,-62198.671875
601,-62199.925781,-62198.796875
602,-62486.894531,-62198.562500
603,-62200.121094,-62198.367188
604,-62246.710938,-62198.277344
605,-62425.023438,-62198.984375
606,-62245.628906,-62198.703125
607,-62199.843750,-62198.777344
608,-62343.636719,-62198.691406
609,-62297.968750,-62198.898438
610,-62231.914062,-62198.734375
611,-62292.593750,-62198.144531
612,-62201.125000,-62198.484375
613,-62329.429688,-62199.136719
614,-62245.921875,-62198.718750
615,-62231.039062,-62198.746094
616,-62199.843750,-62198.652344
617,-62329.945312,-62198.828125
618,-62245.433594,-62198.847656
619,-62246.886719,-62198.636719
620,-62295.660156,-62198.574219
621,-62427.914062,-62198.617188
622,-62232.351562,-62198.539062
623,-62391.250000,-62198.875000
624,-62342.019531,-62198.652344
625,-62199.769531,-62198.242188
626,-62231.109375,-62198.347656
627,-62262.433594,-62198.382812
628,-62374.839844,-62198.390625
629,-62231.175781,-62198.824219
630,-62294.843750,-62198.796875
631,-62326.453125,-62198.707031
632,-62246.363281,-62198.734375
633,-62344.949219,-62198.570312
634,-62199.781250,-62198.753906
635,-62231.203125,-62198.324219
636,-62200.984375,-62198.734375
637,-62262.460938,-62198.324219
