generation,mean_fitness,best_fitness
383,0.058735,4.745000
384,1.471235,4.740000
385,2.339576,4.720000
386,2.827076,4.715000
387,1.519144,4.700000
388,3.705834,4.735000
389,0.157887,4.690000
390,2.390818,4.695000
391,2.417902,4.740000
392,2.813743,4.730000
393,3.797909,4.760000
394,3.231667,4.700000
395,3.235000,4.745000
396,4.665834,4.730000
397,3.769160,4.735000
398,2.311667,4.735000
399,2.788334,4.720000
400,1.840834,4.730000
401,3.232500,4.745000
402,3.714167,4.765000
403,4.177917,4.720000
404,2.769167,4.715000
405,3.229584,4.685000
406,4.662917,4.730000
407,4.186250,4.740000
408,3.685833,4.665000
409,4.204584,4.755000
410,1.923318,4.730000
411,3.714583,4.745000
412,1.988728,4.740000
413,2.782500,4.745000
414,3.309993,4.755000
415,3.697083,4.685000
416,3.240834,4.725000
417,4.643333,4.705000
418,2.427902,4.765000
419,3.312076,4.775000
420,4.182916,4.770000
421,3.243750,4.750000
422,4.660000,4.755000
423,3.691667,4.735000
424,4.173750,4.720000
425,4.671250,4.740000
426,3.242917,4.760000
427,4.192917,4.755000
428,3.232500,4.770000
429,4.199167,4.725000
430,4.644166,4.715000
431,3.235417,4.725000
432,3.716667,4.745000
433,4.194167,4.730000
434,2.770833,4.750000
435,3.705834,4.720000
436,4.184583,4.715000
437,4.205417,4.745000
438,4.193333,4.755000
439,3.718333,4.775000
440,4.209167,4.735000
441,3.319576,4.765000
442,4.684584,4.770000
443,2.351243,4.685000
444,3.723333,4.760000
445,4.188750,4.720000
446,4.175001,4.745000
447,4.664167,4.750000
448,4.197917,4.735000
449,4.195000,4.750000
450,3.740833,4.765000
451,3.310826,4.770000
452,4.655834,4.755000
453,4.662917,4.720000
454,3.728750,4.755000
455,4.209167,4.760000
456,3.721667,4.740000
457,3.695833,4.690000
458,4.177917,4.760000
459,4.182500,4.745000
460,3.250000,4.735000
461,4.678750,4.735000
462,4.677083,4.735000
463,4.657500,4.765000
464,4.663334,4.715000
465,3.244583,4.720000
466,4.188334,4.730000
467,4.642499,4.710000
468,4.177501,4.750000
469,3.251250,4.765000
470,2.770000,4.710000
471,4.652500,4.760000
472,3.708750,4.710000
473,3.702084,4.725000
474,4.184167,4.745000
475,4.666250,4.730000
476,4.197500,4.725000
477,4.641667,4.720000
478,4.642917,4.750000
479,4.683334,4.765000
480,4.655416,4.745000
481,4.650000,4.740000
482,4.178333,4.750000
483,4.671667,4.745000
484,4.189167,4.725000
485,4.660000,4.755000
486,4.630417,4.730000
487,4.660417,4.730000
488,4.188334,4.760000
489,4.187500,4.745000
490,4.189583,4.750000
491,4.203750,4.730000
492,4.203333,4.760000
493,4.189583,4.725000
494,4.170417,4.715000
495,4.654167,4.765000
496,4.687500,4.770000
497,4.667500,4.750000
498,4.657083,4.715000
499,4.653750,4.720000
500,4.178334,4.730000
501,4.168334,4.745000
502,4.676250,4.750000
503,4.642500,4.750000
504,4.634583,4.690000
505,4.648750,4.745000
506,4.191250,4.730000
507,4.170000,4.705000
508,4.202917,4.755000
509,4.683334,4.765000
510,4.180417,4.725000
511,4.178334,4.720000
512,2.748333,4.725000
513,2.770834,4.685000
514,2.770000,4.725000
515,4.657917,4.755000
516,4.690417,4.785000
517,4.645417,4.760000
518,4.646250,4.760000
519,4.637084,4.725000
520,4.676667,4.765000
521,4.647083,4.730000
522,4.648334,4.700000
523,4.152083,4.715000
524,4.176667,4.740000
525,4.652916,4.725000
526,4.654584,4.750000
527,4.675833,4.740000
528,4.677083,4.740000
529,4.674167,4.770000
530,4.666667,4.740000
531,4.632083,4.690000
532,4.660833,4.720000
533,4.197083,4.745000
534,4.662917,4.765000
535,4.630000,4.705000
536,4.184167,4.750000
537,4.660000,4.735000
538,4.655000,4.775000
539,4.197500,4.775000
540,4.661667,4.755000
541,4.653333,4.730000
542,4.699167,4.775000
543,4.644167,4.730000
544,4.193750,4.735000
545,4.662917,4.750000
546,4.666667,4.715000
547,4.163333,4.690000
548,4.647083,4.725000
549,4.659167,4.730000
550,4.178750,4.710000
551,4.660000,4.720000
552,4.658333,4.745000
553,3.712500,4.725000
554,4.662500,4.765000
555,4.173334,4.720000
556,4.631667,4.755000
557,4.208333,4.735000
558,4.689584,4.750000
559,3.782909,4.760000
560,4.657083,4.740000
561,3.295826,4.745000
562,0.144970,4.675000
563,0.622887,4.750000
564,1.987478,4.775000
565,-1.134628,4.745000
566,-0.258371,4.700000
567,0.222879,4.740000
568,3.797493,4.735000
569,1.099137,4.695000
570,2.889152,4.735000
571,2.002061,4.765000
572,2.908735,4.740000
573,1.105803,4.725000
574,4.680417,4.750000
575,2.874985,4.740000
576,2.875401,4.765000
577,-0.657128,4.770000
578,2.009978,4.720000
579,-1.540886,4.745000
580,0.240379,4.745000
581,-1.132545,4.730000
582,-1.141712,4.720000
583,-1.550886,4.720000
584,-2.449643,4.685000
585,-1.128378,4.730000
586,-2.457560,4.680000
587,1.538728,4.735000
588,0.639970,4.745000
589,2.395818,4.685000
590,0.224963,4.765000
591,3.316243,4.740000
592,-2.983385,4.685000
593,0.221213,4.760000
594,0.226629,4.775000
595,-1.557969,4.710000
596,0.187053,4.740000
597,1.517478,4.705000
598,2.002478,4.740000
599,1.534144,4.745000
600,-1.570053,4.695000
601,1.530394,4.740000
602,1.127887,4.775000
603,-0.673795,4.745000
604,3.768326,4.725000
605,-0.675461,4.775000
606,0.238296,4.735000
607,0.617470,4.710000
608,1.515811,4.700000
609,1.126637,4.740000
610,1.519561,4.695000
611,2.012061,4.740000
612,-0.652545,4.760000
613,2.922485,4.760000
614,0.637053,4.735000
615,3.796242,4.740000
616,-0.246704,4.750000
617,1.999561,4.735000
618,-0.670878,4.710000
619,-0.718371,4.735000
620,2.409569,4.760000
621,-1.148795,4.735000
622,-0.259621,4.765000
623,-0.240454,4.760000
624,-1.140878,4.700000
625,2.351243,4.730000
626,0.232879,4.740000
627,0.221629,4.735000
628,-1.140045,4.775000
629,0.647887,4.740000
630,2.007478,4.740000
631,1.116637,4.730000
632,-0.248787,4.725000
633,0.212463,4.755000
634,1.994561,4.715000
635,0.212046,4.755000
636,0.644553,4.745000
637,0.226629,4.715000
638,-0.666712,4.725000
639,2.015394,4.755000
640,2.877069,4.750000
641,0.645387,4.760000
642,4.692917,4.760000
643,-0.250037,4.750000
644,0.642887,4.730000
645,0.235796,4.765000
646,1.081220,4.755000
647,2.906236,4.765000
648,1.509561,4.735000
649,1.955811,4.695000
650,1.109970,4.750000
651,1.514561,4.745000
652,1.501644,4.705000
653,1.947902,4.745000
654,2.880818,4.755000
655,3.769576,4.725000
656,1.958319,4.755000
657,2.904152,4.765000
658,2.029561,4.785000
659,2.899568,4.765000
660,1.524144,4.725000
661,2.895402,4.750000
662,3.784576,4.740000
663,2.877069,4.735000
664,2.011228,4.765000
665,2.871235,4.705000
666,2.002478,4.785000
667,4.687500,4.745000
668,2.881235,4.760000
669,2.889569,4.765000
670,2.003311,4.765000
671,2.873735,4.765000
672,1.032894,4.720000
673,1.999561,4.770000
674,2.003728,4.715000
675,2.904152,4.755000
676,1.080804,4.685000
677,4.677500,4.750000
678,4.661251,4.735000
679,1.099553,4.740000
680,2.814993,4.735000
681,2.408735,4.715000
682,-0.740037,4.700000
683,1.103304,4.710000
684,3.321659,4.750000
685,1.987061,4.715000
686,3.792076,4.780000
687,1.514978,4.745000
688,1.099553,4.750000
689,-0.675045,4.700000
690,1.981644,4.735000
691,4.651250,4.765000
692,0.205379,4.740000
693,3.750826,4.715000
694,2.435818,4.760000
695,3.762076,4.725000
696,-0.653795,4.720000
697,4.211667,4.765000
698,1.098304,4.700000
699,3.788742,4.750000
700,0.217879,4.720000
701,3.764993,4.740000
702,3.777909,4.740000
703,3.331243,4.765000
704,2.894985,4.765000
705,2.884985,4.740000
706,4.673334,4.720000
707,1.990394,4.725000
708,2.908735,4.760000
709,1.999978,4.775000
710,2.001644,4.740000
711,3.773326,4.740000
712,4.674584,4.775000
713,1.984978,4.715000
714,1.099554,4.700000
715,2.006644,4.750000
716,4.175001,4.760000
717,1.111637,4.725000
718,4.680833,4.735000
719,3.786243,4.735000
720,1.974144,4.730000
721,1.066637,4.665000
722,-0.245454,4.750000
723,1.092887,4.735000
724,1.982061,4.765000
725,2.010394,4.745000
726,1.100387,4.745000
727,-2.443810,4.705000
728,2.888735,4.770000
729,3.769159,4.710000
730,2.001228,4.745000
731,3.785826,4.765000
732,1.102470,4.705000
733,1.993728,4.765000
734,2.864152,4.700000
735,3.322493,4.775000
736,3.791659,4.760000
737,1.044977,4.775000
738,3.801243,4.770000
739,3.783326,4.740000
740,3.284992,4.695000
741,1.993311,4.755000
742,4.178333,4.730000
743,2.426652,4.765000
744,2.828743,4.750000
745,2.015394,4.750000
746,1.990394,4.740000
747,2.408318,4.715000
748,2.005394,4.735000
749,3.803743,4.770000
750,2.007894,4.745000
751,2.407069,4.735000
752,1.054144,4.735000
753,0.626637,4.720000
754,2.889569,4.740000
755,2.428319,4.735000
756,1.518728,4.730000
757,4.188334,4.760000
758,1.995811,4.735000
759,3.768743,4.720000
760,2.014561,4.760000
761,2.907485,4.740000
762,2.874568,4.765000
763,1.986228,4.705000
764,2.031227,4.760000
765,3.771243,4.745000
766,3.772076,4.720000
767,-0.678378,4.710000
768,2.883735,4.725000
769,3.791242,4.745000
770,1.104970,4.720000
771,4.662500,4.750000
772,3.783326,4.740000
773,2.002061,4.750000
774,0.208713,4.710000
775,1.999144,4.745000
776,2.422485,4.750000
777,3.782076,4.760000
778,3.786659,4.770000
779,2.907902,4.750000
780,2.858735,4.700000
781,4.659584,4.735000
782,1.994145,4.730000
783,1.986644,4.700000
784,0.218296,4.745000
785,2.012478,4.765000
786,3.766243,4.760000
787,0.224129,4.740000
788,0.212879,4.735000
789,1.984561,4.725000
790,2.009978,4.745000
791,1.101637,4.720000
792,2.439569,4.760000
793,1.115803,4.730000
794,3.785826,4.725000
795,1.102470,4.720000
796,2.000811,4.760000
797,2.005394,4.755000
798,1.119970,4.745000
799,0.224963,4.770000
800,3.770825,4.775000
801,3.761243,4.755000
802,2.860819,4.750000
803,1.105387,4.750000
804,2.926235,4.775000
805,4.670416,4.730000
806,2.892069,4.740000
807,2.909569,4.750000
808,2.010394,4.750000
809,1.109970,4.740000
810,3.293326,4.725000
811,2.875818,4.750000
812,4.667083,4.735000
813,2.912069,4.750000
814,2.882902,4.740000
815,0.217879,4.690000
816,4.661667,4.730000
817,2.907485,4.770000
818,4.653333,4.745000
819,0.222463,4.735000
820,0.224546,4.770000
821,2.880818,4.730000
822,3.747493,4.705000
823,1.974978,4.700000
824,4.672083,4.750000
825,3.314159,4.730000
826,1.094137,4.695000
827,4.652500,4.740000
828,3.789576,4.740000
829,3.760410,4.715000
830,4.649583,4.710000
831,3.778743,4.765000
832,3.759993,4.715000
833,3.755409,4.740000
834,3.783743,4.745000
835,3.778326,4.740000
836,4.662083,4.720000
837,3.765409,4.760000
838,4.656250,4.760000
839,3.770826,4.735000
840,4.653333,4.705000
841,3.797909,4.750000
842,2.805826,4.710000
843,4.184584,4.745000
844,3.769992,4.750000
845,4.200834,4.770000
846,4.655000,4.760000
847,4.180833,4.760000
848,4.687917,4.785000
849,4.665833,4.765000
850,4.649583,4.735000
851,4.652084,4.730000
852,4.657500,4.760000
853,4.669583,4.760000
854,4.649583,4.705000
855,4.690417,4.750000
856,4.687917,4.730000
857,4.644166,4.755000
858,4.672500,4.740000
859,4.175000,4.680000
860,4.631250,4.680000
861,4.647916,4.735000
862,4.690417,4.755000
863,4.648334,4.750000
864,4.681250,4.750000
865,4.652917,4.775000
866,4.662500,4.755000
867,4.640834,4.730000
868,4.675417,4.745000
869,4.664167,4.770000
870,4.662917,4.745000
871,4.669167,4.745000
872,4.659584,4.735000
873,4.669584,4.720000
874,4.641250,4.735000
875,4.651667,4.750000
876,4.670417,4.755000
877,4.663750,4.755000
878,4.676250,4.770000
879,4.660833,4.710000
880,4.679584,4.730000
881,4.651250,4.745000
882,4.660000,4.755000
883,4.658750,4.725000
884,4.652500,4.720000
885,4.676667,4.770000
886,4.657083,4.755000
887,4.649167,4.740000
888,4.697501,4.775000
889,4.694167,4.775000
890,4.657500,4.755000
891,4.682917,4.765000
892,4.181667,4.745000
893,4.649584,4.730000
894,4.674167,4.755000
895,3.302492,4.715000
896,4.657501,4.740000
897,4.676250,4.750000
898,4.148750,4.680000
899,4.198333,4.755000
900,4.652083,4.725000
901,4.178333,4.740000
902,4.666667,4.750000
903,4.660833,4.760000
904,4.198750,4.760000
905,4.197083,4.695000
906,4.686667,4.745000
907,4.195000,4.715000
908,4.666667,4.755000
909,4.673750,4.760000
910,4.194583,4.730000
911,4.657083,4.730000
912,4.186666,4.730000
913,4.646667,4.715000
914,4.667083,4.750000
915,4.674583,4.745000
916,3.780410,4.755000
917,4.659167,4.750000
918,4.655000,4.715000
919,3.760826,4.740000
920,4.638750,4.725000
921,4.682500,4.755000
922,4.652916,4.715000
923,4.670417,4.720000
924,4.681250,4.765000
925,4.666251,4.740000
926,4.643333,4.735000
927,4.669584,4.730000
928,4.654583,4.745000
929,4.688334,4.760000
930,4.626250,4.670000
931,4.650000,4.740000
932,4.657084,4.740000
933,4.679167,4.755000
934,4.665833,4.750000
935,4.644583,4.755000
936,4.685833,4.770000
937,4.674583,4.740000
938,4.681667,4.760000
939,4.677083,4.770000
940,4.658750,4.715000
941,4.666250,4.725000
942,4.638750,4.705000
943,4.668334,4.755000
944,4.641666,4.740000
945,4.663750,4.720000
946,4.650417,4.725000
947,4.645417,4.730000
948,4.662917,4.740000
949,4.652501,4.750000
950,4.670417,4.755000
951,4.654167,4.730000
952,4.188750,4.775000
953,4.696667,4.760000
954,4.652500,4.740000
955,4.675833,4.730000
956,4.652500,4.740000
957,4.662500,4.745000
958,4.686667,4.745000
959,4.653333,4.720000
960,4.202500,4.735000
961,3.734584,4.735000
962,4.661667,4.735000
963,4.662500,4.735000
964,4.672917,4.755000
965,4.639584,4.685000
966,4.175833,4.725000
967,4.625000,4.675000
968,4.657083,4.710000
969,4.680000,4.765000
970,4.647917,4.735000
971,4.654583,4.710000
972,4.671250,4.765000
973,4.176250,4.740000
974,4.194583,4.730000
975,4.664583,4.725000
976,4.664584,4.740000
977,4.667917,4.740000
978,4.687917,4.755000
979,4.646667,4.730000
980,4.651250,4.755000
981,4.660417,4.720000
982,4.653750,4.730000
